disk,capacity,type,node
sdg,1.8T,WD2000FYYZ-23UL,c13.16
sdh,1.8T,ST2000NM0011,c13.16
sdi,1.8T,ST2000NM0055,c13.16
sdj,1.8T,WD2000FYYZ-23UL,c13.16
sdk,1.8T,WD2000FYYZ-23UL,c13.16
sda,1.8T,WD2000FYYZ-23UL,c13.17
sdb,1.8T,MG04ACA200N,c13.17
sdc,1.8T,WD2000FYYZ-23UL,c13.17
sdd,1.8T,WD2000FYYZ-23UL,c13.17
sde,1.8T,WD2000FYYZ-23UL,c13.17
sdf,1.8T,WD2000FYYZ-23UL,c13.17
sdg,1.8T,WD2000FYYZ-23UL,c13.17
sdh,1.8T,WD2000FYYZ-23UL,c13.17
sdi,1.8T,WD2000FYYZ-23UL,c13.17
sdj,1.8T,WD2000FYYZ-23UL,c13.17
sdk,1.8T,WD2000FYYZ-23UL,c13.17
sda,1.8T,WD2000FYYZ-23UL,c13.2
sdb,1.8T,WDC WD2003FZEX-0,c13.2
sdc,1.8T,WD2000FYYZ-23UL,c13.2
sdd,1.8T,WD2000FYYZ-23UL,c13.2
sde,1.8T,WD2000FYYZ-23UL,c13.2
sdf,1.8T,WD2000FYYZ-23UL,c13.2
sdg,1.8T,WD2000FYYZ-23UL,c13.2
sdh,1.8T,WDC WD2003FZEX-0,c13.2
sdi,1.8T,WD2000FYYZ-23UL,c13.2
sdj,1.8T,WD2000FYYZ-23UL,c13.2
sdk,1.8T,WD2000FYYZ-23UL,c13.2
sda,1.8T,WD2000FYYZ-23UL,c13.3
sdb,1.8T,WD2000FYYZ-23UL,c13.3
sdc,1.8T,WDC WD2003FZEX-0,c13.3
sdd,1.8T,WD2000FYYZ-23UL,c13.3
sde,1.8T,WD2000FYYZ-23UL,c13.3
sdf,1.8T,WD2000FYYZ-23UL,c13.3
sdg,1.8T,WD2000FYYZ-23UL,c13.3
sdh,1.8T,WD2000FYYZ-23UL,c13.3
sdi,1.8T,WD2000FYYZ-23UL,c13.3
sdj,1.8T,WDC WD2003FZEX-0,c13.3
sdk,1.8T,WD2000FYYZ-23UL,c13.3
sda,1.8T,WDC WD2003FZEX-0,c13.4
sdb,1.8T,WD2000FYYZ-23UL,c13.4
sdc,1.8T,WD2000FYYZ-23UL,c13.4
sdd,1.8T,WD2000FYYZ-23UL,c13.4
sde,1.8T,WDC WD2003FZEX-0,c13.4
sdf,1.8T,WD2000FYYZ-23UL,c13.4
sdg,1.8T,WD2000FYYZ-23UL,c13.4
sdh,1.8T,WD2000FYYZ-23UL,c13.4
sdi,1.8T,WD2000FYYZ-23UL,c13.4
sdj,1.8T,WD2000FYYZ-23UL,c13.4
sdk,1.8T,WD2000FYYZ-23UL,c13.4
sda,1.8T,ST2000NM0055,c13.5
sdb,1.8T,WD2000FYYZ-23UL,c13.5
sdc,1.8T,WD2000FYYZ-23UL,c13.5
sdd,1.8T,WD2000FYYZ-23UL,c13.5
sde,1.8T,WD2003FYYS-23W0B,c13.5
sdf,1.8T,WD2000FYYZ-23UL,c13.5
sdg,1.8T,WD2000FYYZ-23UL,c13.5
sdh,1.8T,WD2000FYYZ-23UL,c13.5
sdi,1.8T,WD2000FYYZ-23UL,c13.5
sdj,1.8T,WD2000FYYZ-23UL,c13.5
sdk,1.8T,WD2000FYYZ-23UL,c13.5
sda,1.8T,WD2000FYYZ-23UL,c13.7
sdb,1.8T,WDC WD2003FZEX-0,c13.7
sdc,1.8T,WD2000FYYZ-23UL,c13.7
sdd,1.8T,WD2000FYYZ-23UL,c13.7
sde,1.8T,WD2000FYYZ-23UL,c13.7
sdf,1.8T,WD2004FBYZ-23YC,c13.7
sdg,1.8T,WD2000FYYZ-23UL,c13.7
sdh,1.8T,WD2000FYYZ-23UL,c13.7
sdi,1.8T,WD2000FYYZ-23UL,c13.7
sdj,1.8T,WD2000FYYZ-23UL,c13.7
sdk,1.8T,WD2000FYYZ-23UL,c13.7
sda,1.8T,WD2000FYYZ-23UL,c13.8
sdb,1.8T,WD2000FYYZ-23UL,c13.8
sdc,1.8T,ST2000NM0011,c13.8
sdd,1.8T,WD2000FYYZ-23UL,c13.8
sde,1.8T,WD2000FYYZ-23UL,c13.8
sdf,1.8T,WD2000FYYZ-23UL,c13.8
sdg,1.8T,WD2000FYYZ-23UL,c13.8
sdh,1.8T,WD2000FYYZ-23UL,c13.8
sdi,1.8T,WD2000FYYZ-23UL,c13.8
sdj,1.8T,WD2000FYYZ-23UL,c13.8
sdk,1.8T,ST2000NM0011,c13.8
sda,1.8T,WDC WD2003FZEX-0,c13.9
sdb,1.8T,WD2000FYYZ-23UL,c13.9
sdc,1.8T,WD2000FYYZ-23UL,c13.9
sdd,1.8T,WD2000FYYZ-23UL,c13.9
sde,1.8T,WD2000FYYZ-23UL,c13.9
sdf,1.8T,WD2000FYYZ-23UL,c13.9
sdg,1.8T,WD2000FYYZ-23UL,c13.9
sdh,1.8T,WD2000FYYZ-23UL,c13.9
sdi,1.8T,WD2000FYYZ-23UL,c13.9
sdj,1.8T,WD2000FYYZ-23UL,c13.9
sdk,1.8T,WDC WD2003FZEX-0,c13.9
sda,1.8T,WD2004FBYZ-23YC,c14.1
sdb,1.8T,WD2000FYYZ-23UL,c14.1
sdc,1.8T,ST2000NM0011,c14.1
sdd,1.8T,WD2000FYYZ-23UL,c14.1
